"id_11km","id_55km","id_111km","id_222km"
8249,296,58,6
8250,296,58,6
8251,296,58,6
8252,297,58,6
8253,297,58,6
8254,297,58,6
8255,297,58,6
8256,297,58,6
8257,298,59,7
8258,298,59,7
8259,298,59,7
8260,298,59,7
8261,298,59,7
8262,299,59,7
8263,299,59,7
8264,299,59,7
8265,299,59,7
8266,299,59,7
8267,300,60,7
8268,300,60,7
8269,300,60,7
8270,300,60,7
8271,300,60,7
8272,301,60,7
8273,301,60,7
8274,301,60,7
8275,301,60,7
8276,301,60,7
8277,302,61,8
8278,302,61,8
8355,317,68,11
8356,317,68,11
8357,318,69,12
8358,318,69,12
8359,318,69,12
8360,318,69,12
8361,318,69,12
8362,319,69,12
8363,319,69,12
8364,319,69,12
8365,319,69,12
8366,319,69,12
8686,293,56,5
8687,293,56,5
8688,293,56,5
8689,294,57,6
8690,294,57,6
8691,294,57,6
8692,294,57,6
8693,294,57,6
8694,295,57,6
8695,295,57,6
8696,295,57,6
8697,295,57,6
8698,295,57,6
8699,296,58,6
8700,296,58,6
8701,296,58,6
8702,296,58,6
8703,296,58,6
8704,297,58,6
8705,297,58,6
8706,297,58,6
8707,297,58,6
8708,297,58,6
8709,298,59,7
8710,298,59,7
8711,298,59,7
8712,298,59,7
8713,298,59,7
8714,299,59,7
8715,299,59,7
8716,299,59,7
8717,299,59,7
8718,299,59,7
8719,300,60,7
8720,300,60,7
8721,300,60,7
8722,300,60,7
8723,300,60,7
8724,301,60,7
8725,301,60,7
8726,301,60,7
8727,301,60,7
8728,301,60,7
8729,302,61,8
8730,302,61,8
8806,317,68,11
8807,317,68,11
8808,317,68,11
8809,318,69,12
8810,318,69,12
8811,318,69,12
8812,318,69,12
8813,318,69,12
8814,319,69,12
8815,319,69,12
8816,319,69,12
8817,319,69,12
8818,319,69,12
9138,384,102,28
9139,384,102,28
9140,384,102,28
9141,385,103,29
9142,385,103,29
9143,385,103,29
9144,385,103,29
9145,385,103,29
9146,386,103,29
9147,386,103,29
9148,386,103,29
9149,386,103,29
9150,386,103,29
9151,387,104,29
9152,387,104,29
9153,387,104,29
9154,387,104,29
9155,387,104,29
9156,388,104,29
9157,388,104,29
9158,388,104,29
9159,388,104,29
9160,388,104,29
9161,389,105,30
9162,389,105,30
9163,389,105,30
9164,389,105,30
9165,389,105,30
9166,390,105,30
9167,390,105,30
9168,390,105,30
9169,390,105,30
9170,390,105,30
9171,391,106,30
9172,391,106,30
9173,391,106,30
9174,391,106,30
9175,391,106,30
9176,392,106,30
9177,392,106,30
9178,392,106,30
9179,392,106,30
9180,392,106,30
9181,393,107,31
9182,393,107,31
9257,408,114,34
9258,408,114,34
9259,408,114,34
9260,408,114,34
9261,409,115,35
9262,409,115,35
9263,409,115,35
9264,409,115,35
9265,409,115,35
9266,410,115,35
